faculty,programme,entry_requirement
Faculty of Cinematic Arts (FCA),Diploma in Cinematography,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least three (3) subjects; OR Pass UEC with a minimum of Grade B in at least three (3) subjects; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in at least one (1) subject; OR Pass STAM with Grade Maqbul (Pass); OR Recognised Creative Multimedia Certificate or its equivalent; OR Recognised related Technical and Vocational Certificate or its equivalent with one (1) year relevant work experience or one (1) trimester bridging programme; OR Pass SKM Level 3 or any qualifications equivalent to Certificate (Level 3, MQF) in a related field; OR Posses an APEL.A certificate from MQA for admission into Diploma programmes; AND Pass an interview OR submission of student’s portfolio, to be determined by MMU as required. Programme Structure Core Year 1 • Ideation • Artistic Visualisation • Creative Expression • Storytelling Through The Lense • Pitching & Fundraising • Basic Photography • Visual Engineering • Lighting Design 1 • Camera Operation • Art History • Literary Readings • Introduction to Philosophy • Pop Culture • Creative Leadership • Persuasive Media Year 2 • Sound Appreciation • Short Media Content • Final Year Project • Color Grading • Lighting Design 2 • Camera Technology • History of Cinema • Cinema and Sociology • Social Media as Marketing Tools • Industrial Training University Subjects • Basic Academic Writing • Co-Curriculum • Pengajian Malaysia / BM Komunikasi 1 • Family and Society in Malaysia Career Prospects Director of Photography, Cinematographer, Photographer, Videographer, Camera Operator, Lighting, Grip"
Faculty of Cinematic Arts (FCA),Bachelor of Cinematic Arts (Hons.),"Entry Requirements Pass Foundation/Matriculation studies in related field from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GPA 2.00) in any two (2) subjects; OR Pass A-Level with a minimum of Grade D in any two (2) subjects; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English; OR Recognised Creative Multimedia Diploma or its equivalent with a minimum CGPA of 2.50; * OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field. ** OR Posses an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a/ AND Pass an interview OR submission of student’s portfolio, to be determined by MMU as required. * Candidates with CGPA below 2.50 may be admitted subject to a rigorous internal assessment process. ** DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 Cinematic Arts Design 1 Film Study 1 Production Management Principles of Directing and Acting Screenwriting Fundamentals Cinematic Arts Design 2 Film Study 2 Lighting Post-Production Sound Design Year 2 New Modes Production New Modes of Cinema Production Design and Art Direction Visual Effects Documentary Production Fundamentals of Documentary Asian Cinema Internship Year 3 Cinematic Arts  Design Project 1 (FYP1) Cinematic Research Project Professional Practice and Management Cinematic Arts  Design Project 2 (FYP2) Cinematic Applications Portfolio Preparations TV Production Media Law Elective Modules **Choose 1 only Motion Capture Directors Costume Design and Make-up Animation Mobile Cinema Sound Design 2 Intro. to Special Effect Zombies, Monsters, Cyborgs **Choose 2 only Advanced Post-Production Advanced Screenwriting Advanced Cinematography Advanced Producing University Subjects Workplace Communication Hubungan Etnik (Local) Pengajian Malaysia 3 (International) Tamadun Islam dan Tamadun Asia (Local) Bahasa Melayu Komunikasi 2 (International) Stress and Wellbeing among Malaysian Co-Curriculum Bahasa Kebangsaan A (local) Foreign Languages (Local and International) Career Prospects Film Director, Film Producer , Script writer, Film Editor, Film & Television Production, Television Programming , Showrunner, Advertising, Post Production, Screenwriting for Film & Television, Documentary Filmmaking, Film Education, Culture & Creative Industry."
Faculty of Law (FOL),Master of Laws (By Research),"Fields of Research Alternative Dispute Resolution Banking Law Business Law Child Law Constitutional Law Contract Law Corporate Law Criminal Law Cyber Law Employment Law Human Rights Law Industrial Relations Law Information Technology Law International Law Labour Law Law and Economics Law and Technology Media Law Medical Law and Ethics Sports Law Securities Law Compulsory Subjects Research Methodology for Law Legal Writing, Reasoning and Analysis Commercialisation & Entrepreneurship Entry Requirements A bachelor’s degree in Law or related fields with minimum CGPA of 2.75 out of 4.00 or its equivalent qualification as accepted by the HEP Senate; OR A bachelor’s degree in Law or related fields not meeting CGPA of 2.75 but above 2.50 out of 4.00 or its equivalent qualification can be accepted by HEP Senate subject to rigorous internal assessment; OR A bachelor’s degree in Law or related fields below a CGPA of 2.50 out of 4.00 or its equivalent qualification can be accepted by the HEP senate, subject to a minimum 5 years working experience in the relevant field. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 2 years, Max. 3 years Part-Time: Min. 3 years, Max. 5 years Intake"
Faculty of Law (FOL),Doctor of Philosophy (Ph.D.) Laws (By Research),"Fields of Research Alternative Dispute Resolution Banking Law Business Law Child Law Constitutional Law Contract Law Corporate Law Criminal Law Cyber Law Employment Law Human Rights Law Industrial Relations Law Information Technology Law International Law Labour Law Law and Economics Law and Technology Media Law Medical Law and Ethics Sports Law Securities Law Compulsory Subjects Advanced Research Methodology for Law Qualitative & Quantitative Research Methods for Law Commercialisation & Entrepreneurship Entry Requirements A Bachelor degree (Level 6, MQF) in Law AND a Master’s degree in Law (Level 7, MQF) or related fields or its equivalent qualification as accepted by the HEP Senate; English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 3 years, Max. 5 years Part-Time: Min. 5 years, Max. 7 years Intake Throughout the year"
Faculty of Law (FOL),Foundation in Law,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least five (5) subjects, inclusive of Bahasa Malaysia AND the following English requirement:* *Applicants with SPM must obtain a minimum of grade B+. *Applicants with O-Level / IGCSE qualification must obtain a minimum of: Grade C in IGCSE English as a First Language; Grade B in IGCSE English as a Second Language; or Grade C in O-Level English Note Admission into the programme is subject to meeting the Internal Selection Criteria. Programme Structure Trimester 1 Communicative English Critical Thinking Computer Applications Introduction to Law General Principles of Law Malaysian Legal History Trimester 2 Essential English Fundamentals of Business Management Basic Accounting for Lawyers Introduction to Criminal and Constitutional Law Introduction to Politics and Governance Introduction to Syariah Law Trimester 3 English for Law Law and Society Introduction to Commercial Law"
Faculty of Law (FOL),Bachelor of Law (Hons.),"Entry Requirements Pass Foundation/Matriculation studies from a recognised institution AND 5 Credits inclusive of Bahasa Malaysia at SPM Level or its equivalent; OR Pass STPM or its equivalent with Grade C (GP 2.00) in any 3 subjects AND 5 Credits inclusive of Bahasa Malaysia at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any 3 subjects AND 5 Credits inclusive of Bahasa Malaysia at SPM Level or its equivalent; OR Pass Diploma in related field from a recognised institution AND Pass SPM with 5 Credits inclusive of Bahasa Malaysia; OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a AND A minimum score of band 4 in MUET.* Note: *MUET exemption will be granted if students have completed a pre-university or diploma programme that is conducted in English. Admission into the programme is subject to meeting the Internal Selection Criteria. Programme Structure Core Year 1 Malaysian Legal System Constitutional Law I Contract Law I Legal Method Contemporary Management and Entrepreneurship Legal Skills Constitutional Law II Contract Law II Family Law Year 2 Criminal Law I Law of Torts I Islamic Law I Intellectual Property Law Criminal Law II Law of Torts II Islamic Law II Cyberlaw Mooting Year 3 Land Law I Company Law I Public International Law Equity and Trust I Land Law II Company Law II Jurisprudence Equity and Trusts II Law of Succession Legal Attachment Year 4 Civil Procedure I Criminal Procedure I Law of Evidence I Professional Practice I Conveyancing Practice Civil Procedure II Criminal Procedure II Law of Evidence II Professional Practice II Law of Insolvency Civil Trial Advocacy Criminal Trial Advocacy Alternative Dispute Resolution Procedures Elective Modules Year 1 Elective I Elective II Year 2 Elective III Elective IV Elective V Year 3 Elective VI Elective Subjects Administrative Law Conflict of Laws Consumer Law Environmental Law Evidence and Procedure in Syariah Court Human Rights Law International Trade and Shipping Law Islamic Banking and Finance Law Islamic Constitutional Law Islamic Family Law Labour Law Law and Economics Law of Banking Revenue Law Note: – The above programme structure serves as a guide. Courses may differ according to intakes. – Out of the 6 elective courses, students may opt to register a maximum of two (2) non-law elective courses, which must be three credit hours. – The non-law elective courses will depend on the courses offered by other faculties. University Subjects U1 – Penghayatan Etika dan Peradaban / Falsafah dan Isu Semasa U4 – Co-Curriculum U2 – Bahasa Kebangsaan A/Foreign Language Character Building I, Character Building II, Leadership Module"
Faculty of Engineering & Technology (FET),Master of Engineering Science (By Research),"Fields of Research 2-D/3-D Modelling and Reconstruction of Medical Images 5G Research Acquisition System Actuators: Gear System and Design Actuators: Variable Torque Motor Advanced Material & Devices Artificial Intelligence and Soft Computing Artificial Neural Networks and Its Applications Autonomous Mobile Robots Biomedical Signal Processing CAD-CAM Modelling and Simulation Computer Assisted Manufacturing Control Systems Digital Filters Digital Signal Processing DNA Fingerprinting Embedded System: Microcontroller, DSP, PLC, FPGA Green Technologies Engineering Tribology in Manufacturing Technology Evolutionary Computation Flexible Manufacturing Systems (FMS) Humanoid Robots Hydrodynamic Stability Inventory Management Machine Kinematics Machine Vision / Object Recognition Magnetic Resonance Imaging (MRI) Mammography Mathematical Methods, Algorithms and Applications for Image Processing Mechanism and Control of Friction and Wear in Cutting Tools Memetic Algorithm Micro Heat Pipes Micro-channel Heat Transfer Optical Measurement Techniques: Fibre Sensors Organisational Behaviour Product Data Management Production / Maintenance Planning and Scheduling Quality Control Rapid Prototyping Remote Sensing and Surveillance Technologies Renewable Energy Systems Sensors: Distance and Colour Sensors Signal and Image Processing Statistical and Judgement Forecasting Supply Chain Management Technology of Cutting and Grinding Process Telecommunications Teleconference System Total Quality Management Turbulent Flows and Shock Waves Ultrasound Imaging and Angiography Nuclear Medicine Visualization Wireless Communication Systems; photonics Entry Requirements A Bachelor’s degree in the field or related fields with a minimum CGPA of 2.75 or equivalent, as accepted by the Senate; or A Bachelor’s degree  in the field or related fields with a minimum CGPA of 2.50 and not meeting CGPA of 2.75 or equivalent, can be accepted subject to rigorous internal assessment; A Bachelor’s degree in the field or related fields with minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted subject to a minimum of 5 years working experience in the relevant field and rigorous internal assessment. A Bachelor’s degree in non-related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the Senate, subject to having relevant working experience and rigorous internal assessment A Bachelor’s degree in non-related field with minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted subject to a minimum of 5 years working experience in the relevant field and rigorous internal assessment. A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the Senate and without relevant working experience, subject to rigorous internal assessment and passing pre-requisite courses; Other qualifications equivalent to a Bachelor’s degree recognised by the Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 5.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 1 year, Max. 3 years Part-Time: Min. 2 years, Max. 5 years Intake"
Faculty of Engineering & Technology (FET),Doctor of Philosophy (Ph.D.) Engineering (By Research),"Fields of Research 2-D/3-D Modelling and Reconstruction of Medical Images 5G Research Acquisition System Actuators: Gear System and Design Actuators: Variable Torque Motor Advanced Material & Devices Artificial Intelligence and Soft Computing Artificial Neural Networks and Its Applications Autonomous Mobile Robots Biomedical Signal Processing CAD-CAM Modelling and Simulation Computer Assisted Manufacturing Control Systems Digital Filters Digital Signal Processing DNA Fingerprinting Embedded System: Microcontroller, DSP, PLC, FPGA Green Technologies Engineering Tribology in Manufacturing Technology Evolutionary Computation Flexible Manufacturing Systems (FMS) Humanoid Robots Hydrodynamic Stability Inventory Management Machine Kinematics Machine Vision / Object Recognition Magnetic Resonance Imaging (MRI) Mammography Mathematical Methods, Algorithms and Applications for Image Processing Mechanism and Control of Friction and Wear in Cutting Tools Memetic Algorithm Micro Heat Pipes Micro-channel Heat Transfer Optical Measurement Techniques: Fibre Sensors Organisational Behaviour Product Data Management Production / Maintenance Planning and Scheduling Quality Control Rapid Prototyping Remote Sensing and Surveillance Technologies Renewable Energy Systems Sensors: Distance and Colour Sensors Signal and Image Processing Statistical and Judgement Forecasting Supply Chain Management Technology of Cutting and Grinding Process Telecommunications Teleconference System Total Quality Management Turbulent Flows and Shock Waves Ultrasound Imaging and Angiography Nuclear Medicine Visualization Wireless Communication Systems Entry Requirements A Master’s degree in the field or related field accepted by the Senate; OR A Master’s degree in non-related fields as accepted by the Senate, and evidence of at least two (2) years relevant working or research experience, subject to rigorous internal assessment; OR A Master’s degree in non-related fields as accepted by the Senate and without relevant working experience, subject to rigorous internal assessment and passing pre-requisite courses; OR A Bachelor’s degree with minimum CGPA of 3.67 or equivalent in the field or related field from MMU or institutions recognised by Senate can be accepted subject to rigorous internal assessment Other qualifications equivalent to a Master’s degree in the field recognised by Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 5.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 2 years, Max. 5 years Part-Time: Min. 3 years, Max. 7 years Intake Throughout the year"
Faculty of Engineering & Technology (FET),Foundation in Engineering,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least five (5) subjects inclusive of English, Mathematics and one Engineering-related subject; OR Pass UEC with a minimum of Grade B in at least four (4) subjects inclusive of Mathematics, English and one Engineering-related subject; OR Other equivalent qualifications recognized by Malaysian Government."
Faculty of Engineering & Technology (FET),Diploma in Electronic Engineering,"Entry Requirements Pass SPM/O-Level or its equivalent, with a minimum of Grade C in at least three (3) subjects inclusive of Mathematics and one Science/Technical/Vocational subject and a Pass in English; OR Pass UEC with a minimum of Grade B in at least three (3) subjects inclusive of Mathematics and one Science/Technical/Vocational subject and a Pass in English; OR Pass STPM or its equivalent, with a Pass in Mathematics, English AND one relevant Science/Technical/Vocational subject at the SPM Level or its equivalent; OR Recognised Certificate in Engineering/Engineering Technology or its equivalent; * OR Possess an APEL.A certificate from MQA for admission into Diploma programmes. Note *One (1) year of relevant experience or a minimum of one (1) trimester of bridging programme is required for recognised related Vocational and Technical / Skills Certificate or its equivalent. Programme Structure Core Trimester 1 DEW5016 Engineering Workshop DEE5016 Electronics 1 DCT5016 Circuit Theory DCP5016 Computer Applications Trimester 2 DEM5046 Algebra & Trigonometry DEE5026 Electronics 2 DEE5036 Digital Fundamental Trimester 3 DEM5056 Calculus DEE5046 Electronics 3 Trimester 4 DEM5066 Engineering Mathematics DCP5026 Program Design DEE5056 Power Electronics DPM5026 Electrical Measurement & Instrumentation Techniques DCT5026 Network Analysis Trimester 5 DTM5016 Analog & Digital Communication DEE5066 Industrial Electronics DCA5036 Field Theory DCP5036 Microcontroller Technology Trimester 6 DPT5026 Final Year Project (Part 1) DMH5016 Project Management Trimester 7 DPT5016 Industrial Training Trimester 8 DPT5026 Final Year Project (Part 2) DPM5016 Introduction to Machines & Power Systems DMH5026 Engineering in Society Elective Modules (Choose 1 Subject) Control Systems Introduction to Python Programming Introduction to Hardware Description Language University Subjects & Mata Pelajaran Umum (MPU) Communication Skills: English and Business Communications in the Digital Age Character Building Program: Character Building Courses Environmental Society MPU Courses: U1 – Falsafah dan Isu Semasa / MPU2133 Bahasa Melayu Komunikasi 1 U2/U3 – Bahasa Kebangsaan A / Any other courses in the U2 or U3 category U4 – Co-Curriculum Career Prospects Electronic Technician, Process Engineering Assistant, Equipment Supervisor, Energy Engineering Assistant, Laboratory Technician, Systems Design Supervisor, Project Engineering Assistant, R&D Technician etc."
